name,normalized_name,source,publisher,pdf_page,rating,relevance_score,demidius_recommendation,tags,rules_summary,rules_verification_status,evaluation_method,citation
Aberrant Essence,aberrant essence,Mythic Spell Compendium,Legendary Games / Kobold Press,11,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"The miss and failure chance of physical attacks and spells that individually target you increases to 75%. Additionally, your chance of ignoring solid objects during each move action increases to 75%.",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 11."
Aberrant Form (All),aberrant form (all),Mythic Spell Compendium,Legendary Games / Kobold Press,11,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"Each mythic aberrant form spell is a separate spell, meaning you must select each separately as a mythic spell and you must first know the standard version of the spell you select, though you need not know lower- level…",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 11."
Aboleth’S Lung,aboleth's lung,Mythic Spell Compendium,Legendary Games / Kobold Press,11,B,59,Fits the Hermes/Fate's Favored luck engine; verify bonus type and stacking before use.,damage|luck,"The targets gain a bonus on Swim checks equal to your mythic tier, and a luck bonus on saving throws against the mucus cloud and slime abilities of aboleths. In addition, any pressure damage or nonlethal cold damage…",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 11."
Absolute Command,absolute command,Mythic Spell Compendium,Legendary Games / Kobold Press,11,B,62,Supports the enchantment package after mind blank and immunity-granting effects are removed.,enchantment,"You can control a construct you have built with Hit Dice equal to or less than your level plus your mythic tier. Augmented (4th): If you expend two uses of mythic power, you can also add your mythic tier to determine…",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 11."
Absorb Toxicity,absorb toxicity,Mythic Spell Compendium,Legendary Games / Kobold Press,11,B,61,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,casting-reliability,"You add your tier to the Save DC against your transferred affliction. Augmented (6th): If you expend three uses of mythic power, the spell is not discharged until a creature fails its save and becomes afflicted or the…",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 11."
Absorbing Inhalation,absorbing inhalation,Mythic Spell Compendium,Legendary Games / Kobold Press,12,B,61,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,casting-reliability,"You add your mythic tier to the caster level check to inhale a magical gas, mist, or cloud, with an additional +4 bonus if it was created by a non-mythic effect. In addition, if a non-magical gas, mist, or cloud was…",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 12."
Absorbing Touch,absorbing touch,Mythic Spell Compendium,Legendary Games / Kobold Press,12,B,60,"Useful follow-up control after the opening dispel, though exact save and immunity profile determines priority.",battlefield-control,"You can absorb magical objects as well as non-magical objects. Attended objects and magical objects are entitled to a Fortitude save to avoid being absorbed, using their own save bonus or that of their possessors,…",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 12."
Abstemiousness,abstemiousness,Mythic Spell Compendium,Legendary Games / Kobold Press,12,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,The food is so nourishing that eating it ends the fatigued condition and cures an amount of nonlethal damage equal to your caster level plus your mythic tier. Augmented (2nd): If you expend two uses of your mythic…,Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 12."
Abundant Ammunition,abundant ammunition,Mythic Spell Compendium,Legendary Games / Kobold Press,12,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,Every container of nonmagical ammunition within 20 feet is affected by the spell. Any such container that leaves the area immediately loses the effect.,Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 12."
Abyssal Globule,abyssal globule,Mythic Spell Compendium,Legendary Games / Kobold Press,13,C,45,Generally inefficient for Demidius because the party already has overwhelming damage specialists.,damage,"The initial acid damage increases to 1d8 hp per caster level (maximum 10d8). Those who successfully save are sickened for the duration of the spell, and those who fail the save are nauseated and take the Constitution…",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 13."
Accelerate Poison,accelerate poison,Mythic Spell Compendium,Legendary Games / Kobold Press,13,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"If the target is affected by more than one poison, your spell accelerates all poisons affecting the target. A poison with no onset time has its frequency tripled, requiring three saving throws and inflicting damage…",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 13."
Accursed Monolith,accursed monolith,Mythic Spell Compendium,Legendary Games / Kobold Press,13,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"Creatures touching or adjacent to your mythic accursed monolith are affected as major curse, which can be used to create a major spellblight if cast as a mythos spell. In addition, the curse cannot be removed by a…",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 13."
Acid Arrow,acid arrow,Mythic Spell Compendium,Legendary Games / Kobold Press,13,C,45,Generally inefficient for Demidius because the party already has overwhelming damage specialists.,damage,The damage dealt increases to 2d8 points of acid damage with 1d8 splash damage to creatures in adjacent squares. Creatures damaged by the spell take the same damage each round thereafter for 1 round per 3 caster levels.,Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 13."
Acid Fog,acid fog,Mythic Spell Compendium,Legendary Games / Kobold Press,13,C,45,Generally inefficient for Demidius because the party already has overwhelming damage specialists.,damage,"The damage dealt increases to 4d6 points of acid damage. This spell otherwise functions like mythic solid fog, as described in Chapter 3 of Pathfinder Roleplaying Game Mythic Adventures.",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 13."
Acid Pit,acid pit,Mythic Spell Compendium,Legendary Games / Kobold Press,13,C,54,Generally inefficient for Demidius because the party already has overwhelming damage specialists.,damage|defense,"Add your mythic tier to the Climb DC for creatures attempting to climb out of the acid pit. In addition, creatures beginning their turn in the acid pit take 1d6 points of acid damage (even if they are not in the bottom…",Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 13."
Acid Salt,acid salt,Mythic Spell Compendium,Legendary Games / Kobold Press,13,C,56,Generally inefficient for Demidius because the party already has overwhelming damage specialists.,casting-reliability|damage,The corrosive salts remain in the area for a number of rounds equal to one-half your tier (minimum 1). Any creature within the area at the time of casting or entering it thereafter takes 1d3+1 points of acid damage on…,Verified - full-text extracted,Automated first-pass,"Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 13."
