name,type,rating,recommendation,verification_status,source,publisher,pdf_page,printed_page,citation,tags,summary,gm_review
Mythic Greater Dispel Magic,Mythic spell,S+,Keep; Spell Perfection target,Verified - focused extraction,Mythic Spell Compendium,Legendary Games,75-76,Unknown,Source text/page reference preserved in Optimization Codex v1.4,dispel;counterspell;action economy;mythic,"Roll twice against non-mythic effects, reroll mythic failures with power, automatic non-mythic counterspelling, and immediate-action augment.",No
Dispel Synergy (Mythic),Mythic feat,S+,Take after base Dispel Synergy,Verified - focused extraction,Mythic Hero's Handbook,Legendary Games,148,Unknown,Mythic Hero's Handbook PDF p. 148,dispel;save penalty;party support,Extends Dispel Synergy to allied spells and prolongs the benefit for Demidius.,No
Destructive Dispel (Mythic),Mythic feat,A,Take after accuracy package,Verified - focused extraction,Mythic Hero's Handbook,Legendary Games,145,Unknown,Mythic Hero's Handbook PDF p. 145,dispel;stun;debuff,Improves the disabling rider after a successful dispel.,No
Make Your Own Luck,Path ability,S+,Strongly recommended,Verified - focused extraction,Mythic Hero's Handbook / Mythic Minis Trickster II,Legendary Games,30,Unknown,Source/page preserved in Optimization Codex v1.4,luck;Fate's Favored;bonus conversion,"Converts competence, insight, or morale bonuses into luck bonuses, enabling Fate's Favored synergy under the campaign ruling.",Yes
Inexplicable Luck (Mythic),Mythic feat,A+,Strong reliability pick,Verified - focused extraction,Mythic Hero's Handbook,Legendary Games,186,Unknown,Mythic Hero's Handbook PDF p. 186,luck;reroll;dispel;initiative,Provides a large emergency bonus before or after a decisive d20 roll.,No
High Clerist,Path ability,A+,Recommended for campaign-scale play,Verified - focused extraction,Mythic Hero's Handbook,Legendary Games,23,Unknown,Mythic Hero's Handbook PDF p. 23,leadership;religion;diplomacy;followers,"Grants or upgrades Leadership, improves Diplomacy, and supports religious construction and crusades.",No
Bound by Honor,Universal path ability,S,"Audit vows, then consider",Verified - complete,Mythic Minis 10: Universal Path Abilities,Legendary Games,2,2,turn7file0 L26-L49,mythic power;vow;mental defense,Can convert a monk vow into additional daily mythic power and provides protection against effects that violate vows.,Yes
Ever Ready,Universal path ability,A+,Recommended,Verified - complete,Mythic Minis 10: Universal Path Abilities,Legendary Games,2,2,turn7file0 L50-L53,surprise round;defense;initiative,Always act in surprise rounds and gain defense against readied actions.,No
Genre Savvy,Universal path ability,B,Usually skip,Verified - complete,Mythic Minis 10: Universal Path Abilities,Legendary Games,2,2,turn7file0 L54-L61,knowledge;monster identification;resistance bypass,Improves creature identification and can bypass DR or energy resistance briefly.,No
Versatile Skill Mastery,Universal path ability,A-,Luxury utility pick,Verified - complete,Mythic Minis 10: Universal Path Abilities,Legendary Games,2,2,turn7file0 L62-L72,skills;take 10;flexibility,Grants skill mastery in tier-many skills and permits rapid reassignment at high tier.,No
