name,aliases,spell_list,school,casting_time,components,range,target_area,duration,saving_throw,spell_resistance,rules_text,reconstruction_note,source_sections
Create Master Undead,,Arcane 10; Divine 10,Necromancy [evil] (reconstructed from create greater undead),1 hour (reconstructed),"V, S, M; gemstone worth 500 gp per Hit Die (cost is direct)",Close (reconstructed),One corpse suitable for the chosen undead form,Instantaneous; control is ongoing until lost or superseded,None (reconstructed),No (reconstructed),"Creates a vampire, death knight, or lesser lich under the caster’s control. The material cost is a gemstone worth 500 gp per Hit Die of the created undead.",Effect and cost are directly transcribed. Unwritten fields follow create greater undead.,Arcane 10 Spell Entries; Divine 10 Spell Entries
Epic Magic Missile,,Arcane 10,Evocation [force] (reconstructed from magic missile),Immediate action (direct),"V, S (reconstructed)",500 feet (direct),Up to 10 creatures; missiles can be divided among targets (reconstructed),Instantaneous,None,Yes; see special rule,"Fires 10 magic missiles that are treated as maximized, empowered, and quickened. If a spell-resistance check fails, reroll the failed spell-penetration check; if the reroll also fails, the affected missile bounces to a new opponent.","Range, action, number of missiles, metamagic treatment, reroll, and bounce rule are direct. Other fields follow magic missile.",Arcane 10 Spell Entries
Summon Monster X,,Arcane 10; Divine 10,Conjuration (summoning),1 round (reconstructed from summon monster IX),"V, S, F/DF (reconstructed)",Close (25 ft. + 5 ft./2 levels) (reconstructed),One summoned CR 18 monster (direct),1 round/level (reconstructed),None,No,Summons one CR 18 monster. The exact eligible creature list is not included in the handwritten pages.,The CR and quantity are direct; other fields follow the summon monster line.,Arcane 10 Spell Entries; Divine 10 Spell Entries
Enchant Item,Epic Enchant Item I,Arcane 10; Divine 10,Not specified; likely transmutation or universal,Not specified,"10,000 gp in magical components (direct)",Touch or close; not specified,One masterwork item (direct),Permanent (direct),None (suggested),No (suggested),"Uses 10,000 gp worth of components to enchant any masterwork item as a +1 magic item.","All substantive rules are direct. School, casting time, and exact range are absent from the source.",Arcane 10 Spell Entries; Divine 10 Spell Entries
Raise Dead,,Arcane 10,Conjuration (healing),1 minute,"V, S, M, DF",Touch,Dead creature touched,Instantaneous,"Will negates (harmless, object)","Yes (harmless, object)",Use the standard Pathfinder raise dead spell. The handwritten page says “See Cleric Description.”,Standard PF1e spell entry.,Arcane 10 Spell Entries
Perfect Resurrection,,Arcane 10; Divine 10,Conjuration (healing) (reconstructed from true resurrection),10 minutes (reconstructed),"V, S, M/DF; 20,000 gp material cost (direct cost)",Touch (reconstructed),One dead creature,Instantaneous,None (harmless),Yes (harmless),"Witch only. Functions as true resurrection, but costs 20,000 gp. The note adds that “anything can be used,” apparently removing or relaxing the normal need for remains.","Core effect, Witch restriction, cost, and remains note are direct; other fields follow true resurrection.",Arcane 10 Spell Entries; Divine 10 Spell Entries
Cloak of the Gods,,Arcane 10; Divine 10,Abjuration (suggested),1 standard action (suggested),"V, S, DF (suggested)",Personal,You,20 minutes/level (direct),None,No,Grants damage reduction 15/-.,DR and duration are direct. Unwritten fields are conservative suggestions.,Arcane 10 Spell Entries; Divine 10 Spell Entries
Master Finished Work I,,Arcane 10,Transmutation (reconstructed from fabricate),1 round per 10 cubic feet of material (reconstructed),"V, S, M (raw materials)",Close (reconstructed),Raw materials sufficient for the finished item,Instantaneous,None,No,Transforms raw material into one complete finished item up to 20 feet by 20 feet by 20 feet in size.,Effect and maximum size are direct; other fields follow fabricate.,Arcane 10 Spell Entries
Fog of Death,,Arcane 10,Conjuration (creation) [poison] (reconstructed from cloudkill),1 standard action,"V, S (reconstructed)",400 ft. + 40 ft./level (direct),"Fog cloud, 100-ft.-radius and 40 ft. high (direct)",1 round/level (direct),Fortitude partial (reconstructed from cloudkill),No (reconstructed),Creates a vast fog that deals damage as cloudkill.,"Damage reference, range, cloud dimensions, and duration are direct. Save and school follow cloudkill.",Arcane 10 Spell Entries
Firestorm I,Firestorm,Arcane 10,Evocation [fire] (reconstructed from fire storm),1 round (reconstructed),"V, S (reconstructed)",100 ft. + 10 ft./level (direct),Two 10-ft. cubes/level (notation interpreted from the handwritten “2 × 10-ft. cubes/level”),1 round (direct),Reflex half (reconstructed),Yes (reconstructed),Deals 20d6 points of fire damage throughout the selected area.,"Damage, range, area notation, and duration are direct or directly interpreted. Other fields follow fire storm.",Arcane 10 Spell Entries
