name,normalized_name,source,publisher,pdf_page,rating,relevance_score,demidius_recommendation,tags,rules_summary,rules_verification_status,evaluation_method,citation
Acid Arrow,acid arrow,Mythic Magic: Core Spells,Legendary Games,33,C,45,Generally inefficient for Demidius because the party already has overwhelming damage specialists.,damage,The damage dealt increases to 2d8 points of acid damage with 1d8 splash damage to creatures in adjacent squares. Creatures damaged by the spell take the same damage each round thereafter for 1 round per 3 caster levels.,Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 33."
Acid Fog,acid fog,Mythic Magic: Core Spells,Legendary Games,33,C,45,Generally inefficient for Demidius because the party already has overwhelming damage specialists.,damage,"The damage dealt increases to 4d6 points of acid damage. This spell otherwise functions like myth- ic solid fog, as described in Chapter 3 of Path- finder Roleplaying Game Mythic Adventures.",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 33."
Acid Splash,acid splash,Mythic Magic: Core Spells,Legendary Games,33,C,45,Generally inefficient for Demidius because the party already has overwhelming damage specialists.,damage,Add one-half your mythic tier to the damage dealt by this spell. All creatures adjacent to the target take 1 point of splash damage from the acid.,Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 33."
Aid,aid,Mythic Magic: Core Spells,Legendary Games,33,C,46,Potential party-force multiplier consistent with Demidius's support and command role.,leadership|weapon-focused,"The +1 morale bonus provided by the spell applies to attack rolls, weapon damage, and all saving throws, and the temporary hit points provid- ed by the spell are increased to 2d6 plus 2 per caster level (maximum +20).…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 33."
Air Walk,air walk,Mythic Magic: Core Spells,Legendary Games,33,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"The target walks straight upward at half speed, or straight downward at its normal speed, and its movement while walking on air is not imped- ed by non-mythic winds of less than windstorm strength. When determining how…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 33."
Alarm,alarm,Mythic Magic: Core Spells,Legendary Games,33,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"The duration is increased to 1 day per level, and you can hear the mental alarm anywhere on the same plane. You increase the range at which an au- dible alarm can be heard by 30 feet per mythic tier.",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 33."
Align Weapon,align weapon,Mythic Magic: Core Spells,Legendary Games,33,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"The target weapon gains a +1 sacred (if good) or profane (if evil) bonus to attack and damage rolls against creatures of the opposite alignment. Lawful or chaotic weapons may gain either a sacred or profane bonus,…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 33."
Alter Self,alter self,Mythic Magic: Core Spells,Legendary Games,33,B,68,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,casting-reliability|duration,"After casting the spell, you can change your shape an additional number of times equal to your mythic tier. Alternatively, you can cast this on a willing target with a range of touch (Fortitude negates (harmless),…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 33."
Analyze Dweomer,analyze dweomer,Mythic Magic: Core Spells,Legendary Games,34,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"Non-mythic magical items automatical- ly fail their save to resist a mythic ana- lyze dweomer. In addition, each round you can examine a number of creatures or ob- jects equal to one-half your mythic tier.",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 34."
Animal Growth,animal growth,Mythic Magic: Core Spells,Legendary Games,34,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"You grant the target animal a +10 size bo- nus to Strength, a +6 size bonus to Constitu- tion, and no penalty to Dexterity. Add half your mythic tier to the normal +2 bonus the animal gains to its natural armor.",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 34."
Animal Messenger,animal messenger,Mythic Magic: Core Spells,Legendary Games,34,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"You can implant a verbal message in the target animal, along with a triggering condition for that message to activate, as the magic mouth spell. The mythic animal messenger travels to the place you designate and waits…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 34."
Animal Shapes,animal shapes,Mythic Magic: Core Spells,Legendary Games,34,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,You may affect a number of targets equal to your caster level plus your mythic tier. Creatures gain the benefits of mythic beast shape III when poly- morphed by this spell.,Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 34."
Animal Trance,animal trance,Mythic Magic: Core Spells,Legendary Games,34,D,42,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,narrow-target,"Add your mythic tier to the number of Hit Dice of animals you can fascinate. In ad- dition, affected animals remain fascinated after you cease concentration for a num- ber of rounds equal to your mythic tier.",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 34."
Animate Rope,animate rope,Mythic Magic: Core Spells,Legendary Games,34,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"Your rope can extend and attack a target any- where within the spell’s range. Add your mythic tier to the Armor Class, hardness, and break DC of the rope, as well as the concentration DC of a creature entangled by the…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 34."
Antilife Shell,antilife shell,Mythic Magic: Core Spells,Legendary Games,34,B+,75,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,casting-reliability|reliability,"You may add your mythic tier to caster lev- el checks to overcome the spell resistance of non-mythic creatures seeking to enter a mythic antilife shell. Even if you fail to overcome their spell resistance, any living…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 34."
Antipathy,antipathy,Mythic Magic: Core Spells,Legendary Games,34,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"You can choose an additional number of align- ments or specific kinds of creatures equal to half your mythic tier to affect with this spell. Alterna- tively, you can select a single creature type (and subtype, if a…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 34."
Antiplant Shell,antiplant shell,Mythic Magic: Core Spells,Legendary Games,35,B,61,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,casting-reliability,"Spells or effects that create, summon, enlarge, animate, or otherwise manipulate plants or plant creatures have no effect within a mythic antiplant shell. Add your mythic tier to caster level checks to overcome the…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 35."
Arcane Eye,arcane eye,Mythic Magic: Core Spells,Legendary Games,35,C,57,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,duration,The duration increases to 10 minutes per lev- el. You can assign a mythic arcane eye to fol- low a creature or move in a specific direction without concentrating on it.,Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 35."
Arcane Lock,arcane lock,Mythic Magic: Core Spells,Legendary Games,35,B,61,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,casting-reliability,"Add your mythic tier to the DC of any lock pres- ent on the object; if the object has no lock, it can be opened with a DC 30 Strength check or DC 30 Disable Device check. If a creature tries and fails to open a door…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 35."
Arcane Mark,arcane mark,Mythic Magic: Core Spells,Legendary Games,35,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"Whenever the mark is read by a creature, you receive a fleeting mental impression of the crea- ture’s face. Just glancing at the mark is not enough to trigger this effect.",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 35."
Arcane Sight,arcane sight,Mythic Magic: Core Spells,Legendary Games,35,C,57,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,duration,"You know the location, power and school of all magical auras within your sight, and you may expend one use of mythic power to iden- tify the most powerful spell or spell-like abili- ty the creature currently has…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 35."
"Arcane Sight, Greater","arcane sight, greater",Mythic Magic: Core Spells,Legendary Games,35,C,53,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"If you concentrate on a specific creature with- in 120 feet of you as a standard action, you may expend two uses of mythic power to identify every spell and spell-like ability a creature currently has available for use.",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 35."
Astral Projection,astral projection,Mythic Magic: Core Spells,Legendary Games,35,A,83,"Relevant to Demidius's anti-magic role; evaluate action cost, check reliability, and whether it removes multiple protections.",battlefield-control|casting-reliability|dispel|duration,"You can take an additional number of compan- ions equal to your mythic tier, and the caster level check to dispel your mythic astral projection is increased by an amount equal to your myth- ic tier. If a mythic…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 35."
Atonement,atonement,Mythic Magic: Core Spells,Legendary Games,35,B,62,Supports the enchantment package after mind blank and immunity-granting effects are removed.,enchantment,"You can provide advice and absolution for offens- es large and small, inspiring the target toward greater piety. The target is treated as if wearing a phylactery of faithfulness for one day per caster level, and during…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 35."
Augury,augury,Mythic Magic: Core Spells,Legendary Games,36,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"Add twice your mythic tier to the percentage chance of performing a successful augury. In addition, if an augury indicates that an action will likely lead to an outcome that is both harm- ful and beneficial, you gain a…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 36."
Awaken,awaken,Mythic Magic: Core Spells,Legendary Games,36,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,An awakened tree or animal gains a +2 inherent bonus to one ability score of your choice and is considered a mythic creature for the purpose of spells and effects but gains no mythic abilities. Augmented (6th): The…,Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 36."
Banishment,banishment,Mythic Magic: Core Spells,Legendary Games,36,B+,75,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,casting-reliability|reliability,You add your mythic tier to the number of Hit Dice of creatures you can affect. Non-mythic extraplanar creatures targeted with this spell receive no saving throw.,Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 36."
Bear’S Endurance,bear's endurance,Mythic Magic: Core Spells,Legendary Games,36,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"Your target gains a bonus to Constitution checks equal to half your mythic tier, and once during the spell’s duration as a free action your target can ignore an effect that would cause it to become fatigued. Augmented…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 36."
"Bear’S Endurance, Mass","bear's endurance, mass",Mythic Magic: Core Spells,Legendary Games,36,B,59,Potential party-force multiplier consistent with Demidius's support and command role.,party,"As mythic bear’s endurance, but affecting one creature per level within range; the targets need not be within 30 feet of each other.",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 36."
Beast Shape (All),beast shape (all),Mythic Magic: Core Spells,Legendary Games,36,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"Each mythic beast shape spell is a separate spell, meaning you must select each separately as a mythic spell and you must first know the standard version of the spell you select, though you need not know lower-level…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 36."
Bestow Curse,bestow curse,Mythic Magic: Core Spells,Legendary Games,36,B,68,Useful party recovery; lower priority because the group already has exceptional Life Oracle healing.,casting-reliability|restoration,"The penalty to the target’s attack rolls, saves, ability checks, and skill checks or the decrease to its ability score is increased by an amount equal to half your mythic tier. The percentage chance that the cursed…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 36."
Binding,binding,Mythic Magic: Core Spells,Legendary Games,37,A,80,"Flexible long-duration/permanent containment, preparation-heavy but powerful.",control|permanent,Add your mythic tier to your effective caster level for the purpose of determining whether a non-mythic target is allowed a Will save and how long the mythic binding lasts. You may also have a number of assistants…,Verified - full-text extracted,Manual,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 37."
