profile,score,title,url,category,authority,publisher,source_title,word_count,matched_terms,review_status
Aristea,120,Feats,https://www.d20pfsrd.com/feats/,feats,Unclassified,,,8134,benthic spell; cold; construct; crafting; ice; item creation; merciful spell; ray; shapechange; water; wizard,discovery-indexed; contextual verification required
Aristea,116,Sorcerer/Wizard,https://www.d20pfsrd.com/magic/spell-lists-and-domains/spell-lists-sorcerer-and-wizard/,magic,Unclassified,,,23620,cold; construct; crafting; ice; polymorph; ray; shapechange; water; wizard,discovery-indexed; contextual verification required
Aristea,108,Critical Hits Alternative System,https://www.d20pfsrd.com/alternative-rule-systems/3rd-party-rules-systems/critical-hits-alternative-system/,alternative-rule-systems,Third-party,DragonWing Games,"Torn Asunder: Critical Hits PFRPG Edition,",67496,cold; construct; ice; polymorph; ray; shapechange; water; wizard,discovery-indexed; contextual verification required
Aristea,108,Simple Monster Creation,https://www.d20pfsrd.com/gamemastering/other-rules/unchained-rules/simple-monster-creation/,gamemastering,Paizo,Paizo Inc.,Pathfinder Roleplaying Game Pathfinder Unchained,41614,cold; construct; ice; polymorph; ray; shapechange; water; wizard,discovery-indexed; contextual verification required
Aristea,100,Wizard,https://www.d20pfsrd.com/classes/core-classes/wizard/,classes,Paizo,Paizo Inc.,Pathfinder RPG Core Rulebook,5062,cold; construct; crafting; ice; item creation; polymorph; shapechange; water; wizard,discovery-indexed; contextual verification required
Aristea,99,Legendary Arcanist,https://www.d20pfsrd.com/classes/3rd-party-classes/legendary-games/legendary-arcanist/,classes,Third-party,Legendary Games,"Legendary Arcanists,",8914,cold; construct; ice; polymorph; ray; shapechange; water; wizard,discovery-indexed; contextual verification required
Aristea,99,Magic Item Creation,https://www.d20pfsrd.com/magic-items/magic-item-creation/,magic-items,Paizo,Paizo Inc.,Pathfinder RPG Core Rulebook,15444,cold; construct; crafting; ice; item creation; ray; wizard,discovery-indexed; contextual verification required
Aristea,98,General Feats,https://www.d20pfsrd.com/feats/general-feats/,feats,Unclassified,,,23581,cold; crafting; ice; item creation; merciful spell; polymorph; ray; shapechange; water; wizard,discovery-indexed; contextual verification required
Aristea,97,Sorcerer/Wizard (3pp),https://www.d20pfsrd.com/magic/spells-by-class-3rd-party/sorcerer-wizard-3pp/,magic,Third-party,,,7615,cold; construct; ice; polymorph; ray; water; wizard,discovery-indexed; contextual verification required
Aristea,95,Craft Construct (Item Creation),https://www.d20pfsrd.com/feats/item-creation-feats/craft-construct-item-creation/,feats,Paizo,Paizo Inc.,Pathfinder Campaign Setting: Construct Handbook,4487,cold; construct; crafting; ice; item creation; ray; water,discovery-indexed; contextual verification required
