spell,normalized_name,core_pdf_page,compendium_pdf_page,difference_status,token_set_similarity,audit_note,core_citation,compendium_citation,verification_status
Acid Arrow,acid arrow,33,13,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 33.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 13.",Verified - programmatic full-text comparison
Acid Fog,acid fog,33,13,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 33.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 13.",Verified - programmatic full-text comparison
Acid Splash,acid splash,33,13,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 33.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 13.",Verified - programmatic full-text comparison
Aid,aid,33,14,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 33.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 14.",Verified - programmatic full-text comparison
Air Walk,air walk,33,14,Minor revision,98.9,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 33.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 14.",Verified - programmatic full-text comparison
Alarm,alarm,33,15,Minor revision,99.4,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 33.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 15.",Verified - programmatic full-text comparison
Align Weapon,align weapon,33,16,Editorial / formatting-only,99.8,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 33.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 16.",Verified - programmatic full-text comparison
Alter Self,alter self,33,17,Minor revision,97.2,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 33.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 17.",Verified - programmatic full-text comparison
Analyze Dweomer,analyze dweomer,34,18,Major rewrite / extraction review,90.8,Low text overlap. This may be a major rewrite or a text-extraction boundary issue; manual review recommended.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 34.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 18.",Verified - programmatic full-text comparison
Animal Growth,animal growth,34,19,Substantive revision,97.0,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 34.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 19.",Verified - programmatic full-text comparison
Animal Messenger,animal messenger,34,19,Editorial / formatting-only,99.6,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 34.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 19.",Verified - programmatic full-text comparison
Animal Shapes,animal shapes,34,19,Minor revision,97.9,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 34.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 19.",Verified - programmatic full-text comparison
Animal Trance,animal trance,34,19,Minor revision,98.2,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 34.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 19.",Verified - programmatic full-text comparison
Animate Rope,animate rope,34,20,Editorial / formatting-only,99.6,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 34.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 20.",Verified - programmatic full-text comparison
Antilife Shell,antilife shell,34,21,Minor revision,99.1,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 34.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 21.",Verified - programmatic full-text comparison
Antipathy,antipathy,34,21,Minor revision,97.5,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 34.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 21.",Verified - programmatic full-text comparison
Antiplant Shell,antiplant shell,35,21,Minor revision,99.1,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 35.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 21.",Verified - programmatic full-text comparison
Arcane Eye,arcane eye,35,22,Substantive revision,96.1,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 35.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 22.",Verified - programmatic full-text comparison
Arcane Lock,arcane lock,35,22,Minor revision,98.6,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 35.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 22.",Verified - programmatic full-text comparison
Arcane Mark,arcane mark,35,22,Minor revision,98.4,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 35.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 22.",Verified - programmatic full-text comparison
