id,title,source,pdf_page,printed_page,category,target,priority,verification,summary,disposition
PCF-01,Godclaw mystery,Path of the Hellknight,28-29,26-27,Enemy capability,Hellknight Order of the Godclaw,S,Text and rendered page verified,"Godclaw oracles can mix obedience boons and gain armor command reroll and defense revelations.",Use for enemy preparation; do not give every Hellknight the package
PCF-02,Scrutinize Spell,Path of the Hellknight,41,39,Feat,Demidius,A-,Verified in context,"Adds Wisdom or Charisma to later Spellcraft identification checks after identifying a caster's class.",Select only if spell identification is limiting counterspells
PCF-03,Lead-lined room,Inner Sea Intrigue,59,57,Infrastructure,Sounon,B+,Text and rendered page verified,"Blocks divinations when seamlessly closed but makes the room airtight.",Cheaper fallback with ventilation and portal constraints
PCF-04,Secrecy runes,Inner Sea Intrigue,59,57,Infrastructure,Sounon and planar staging,S,Text and rendered page verified,"Blocks sound and divinations up to a selected spell level even with portals open.",Leading war-room model; audit mythic divine and artifact exceptions
PCF-05,Masked persona,Inner Sea Intrigue,14-15,12-13,Intrigue system,Alley and Roy,A+,Text and rendered page verified,"Creates a consistent alternate identity with divination and reputation separation after establishment.",Adopt only if GM uses the general subsystem
PCF-06,Convincing Persona,Inner Sea Intrigue,15,13,Feat,Alley or Roy,A,Text and rendered page verified,"Improves Bluff and Disguise and prevents ordinary public compromise.",Strong if masked personas are active
PCF-07,Masked Symbol,Inner Sea Intrigue,15,13,Feat,Covert operatives,B+,Text and rendered page verified,"Adds a concept-based social leadership stealth or disguise benefit.",Choose only for a maintained persona
PCF-08,Assumed likeness,Inner Sea Intrigue,60,58,Spell,Roy,A,Verified in context,"Emotion-based phantasm disguises the caster differently to each target and supports social checks.",Check spells known or retraining
PCF-09,Underwater spell adjudications,Aquatic Adventures,48-49,46-47,Operational rules,Both crews,A,Text and rendered page verified,"Clarifies breath verbal components weather cold fire electricity invisibility and perception underwater.",Create a table-approved encounter card
PCF-10,Invisibility bubble,Aquatic Adventures,62,60,Spell,Roy and covert teams,A,Verified in context,"Conceals both the target and displaced water underwater.",Audit bard access and CR-09 access
PCF-11,Pressure adaptation and stabilization,Aquatic Adventures,63,61,Spells,Fleet,B+,Verified in context,"Reduces or immediately resolves depth-pressure adaptation.",Stock as mission-specific crew support
PCF-12,Aquachymist underwater bombs,Aquatic Adventures,52,50,Archetype research,Binky,B,Verified in context,"Allows bombs to function underwater and controls their buoyancy.",Do not combine with gun chemist before archetype compatibility audit
PCF-13,Planefarer's band,Planes of Power (PZO9295),11,9,Magic item,Maarin or Amparo,B+,Text and rendered page verified,"Provides one Elemental Plane's movement or survival benefits.",Mission item only; ring-slot and plane limits
PCF-14,Janni's jaunt,Planes of Power (PZO9295),11,9,Spell,Planar team,B,Text and rendered page verified,"Restricted plane shift for willing targets among Material Astral and Elemental Planes.",Fallback only; Key of Daedalus usually superior
PCF-15,Divine rank domain-count framework,Inner Sea Faiths (PZO9290),5,3,Divine design,Campaign pantheon,B,Text and rendered page verified,"Uses five domains and six subdomains for deities and four each for demigods.",Balancing reference only; never overwrite Zatera rules
