id,title,source,pdf_page,printed_page,category,target,priority,verification,summary,disposition
PCS-01,Custom deity obedience framework,Inner Sea Gods (PZO9267),175,174,Divine progression,Campaign pantheon,A+,Verified in context,"Compare domains and borrow or mix same-level boons for lesser/custom deities.",GM framework; separate from campaign trials and Boon currency
PCS-02,Evangelist,Inner Sea Gods (PZO9267),199-200,198-199,Prestige class,Demidius,S,Verified in context,"Advances an aligned base class after the first prestige level and accelerates deity boons.",Post-20 and custom-Hermes approval required
PCS-03,Exalted,Inner Sea Gods (PZO9267),201-202,200-201,Prestige class,Demidius or divine follower,A,Verified in context,"Full divine spell progression; accelerated boons; selected deity domain at level 5.",Secondary Demidius candidate; strong follower candidate
PCS-04,Mythic trial separation,Mythic Realms (PZO9262),7,,Mythic framework,Campaign rules,A+,Verified in context,"Claiming mythic power and completing a mythic trial need not be the same event.",Supports existing separate divine and mythic progressions
PCS-05,Captain-derived ship statistics,Ships of the Inner Sea (PZO9274),5,3,Naval rules,Dawnrunner,S,Verified in context,"The most skilled sailor normally makes sailing checks and captain statistics are built into derived ship values.",Recalculate when Demidius's current modifier is supplied
PCS-06,Galleon profile,Ships of the Inner Sea (PZO9274),7,5,Naval reference,Both party ships,A,Verified in context,"Durable heavily armed merchant or warship with high castles and mixed rig.",Descriptive analog; campaign workbook remains authoritative
PCS-07,Plunder abstraction,Ships of the Inner Sea (PZO9274),5,3,Naval bookkeeping,Fleet,B,Verified in context,"Roughly 1 plunder point represents 1000 gp and 1 ton of valuable cargo.",Optional bookkeeping model only
PCS-08,Artifact research protocol,Artifacts & Legends (PZO9250),6-7,4-5,Artifact operations,Party,S,Verified in context,"Artifact identification needs research; specialized libraries can aid Knowledge checks.",Adopt as operating procedure with GM-set DCs
PCS-09,Riftwarden,Paths of Prestige (PZO9249),48-49,,Prestige class,Planar specialist,A,Verified in context,"Abjuration and planar-security specialist suited to guarding portals.",Recruit or train specialist; poor immediate Demidius fit
PCS-10,Magic Penetration revelation,Inner Sea Magic (PZO9237),32,30,Oracle revelation,Demidius,A,Verified in context,"Improves caster-level checks to dispel or remove magic.",Only through legal revelation access or GM ruling
PCS-11,Mystic Null revelation,Inner Sea Magic (PZO9237),32,30,Oracle revelation,Demidius,B+,Verified in context,"Insight bonus against spells and later supernatural effects.",Only through legal revelation access or GM ruling
PCS-12,Aura of Excellence,Inner Sea Combat (PZO9268),41,39,Paladin archetype,Follower or ally,A,Verified in context,"Defends against forced rerolls and worse-of-two-roll effects.",Strong anti-unluck allied build
PCS-13,Ship vanity,Pathfinder Society Field Guide (PZO9235),64,62,Infrastructure,Fleet,B+,Verified in context,"Models a self-sustaining crewed ship and grants a sailor benefit.",Optional organization model; Society rules are not campaign rules
PCS-14,Coastal island vanity,Pathfinder Society Field Guide (PZO9235),64,62,Infrastructure,Sounon,B,Verified in context,"Models island property and follower capacity.",Optional Sounon development model
PCS-15,Faction services,Faction Guide (PZO9221),21,,Infrastructure,Allied factions,B,Verified in context,"Influence can purchase spellcasting and organizational services.",Adapt only if GM wants an influence economy
PCS-16,Magic-school framework,Inner Sea Magic (PZO9237),21 and 29,,Infrastructure,Arcane institutions,B+,Verified in context,"Models education checks research aid transcription and remote participation.",Useful for a school or research network
PCS-17,Shackles island toolbox,Isles of the Shackles (PZO9244),58 and 64-65,,Setting inspiration,Isles of Berres,B+,Verified in context,"Provides pirate-island ghost-ship draugr and hidden-harbor templates.",Reskin; do not import Golarion lore as fact
PCS-18,Storm-Lashed,Campaign Setting (PZO1111),135,,Legacy feat,Sailor,C,Verified legacy text,"Weather-resistant sailor concept with Shackles-specific prerequisites.",3.5-era; conversion required
PCS-19,Cannon Master,Inner Sea Combat (PZO9268),19,17,Siege feat,Binky,A+,Text and rendered page verified,"Makes broken firearm siege engines safer and grants +2 to repair checks.",Audit Binky's prerequisites and compare with Master Siege Engineer
PCS-20,Pirate ship-speed tricks,Ships of the Inner Sea (PZO9274),65,63,Naval class features,Dawnrunner,A,Text and rendered page verified,"Burst of Speed doubles maximum speed briefly; Windrigger adds 5 feet for an hour; Storm Sailor reduces storm severity.",Benchmark and access research only; not active ship modifiers
