id,title,source,pdf_page,printed_page,category,target,priority,verification,summary,disposition
RPG-01,Mnemonic vestment,Ultimate Equipment (PZO1123),217,216,Magic item,Demidius,S+ conditional,Text and rendered page verified,"Once daily cast from a carried written source if the spell is on the spontaneous caster's list and matches slot type.",GM must rule whether CR-09 satisfies the class-list requirement
RPG-02,Otherworldly kimono,Ultimate Equipment (PZO1123),217-218,216-217,Magic item,Demidius,S,Text and rendered page verified,"Grants +4 on all caster-level checks and a daily no-initial-save maze effect; bonus rises while occupied.",Resolve body slot and wealth
RPG-03,Bead of karma,Core Rulebook (PZO1110),531-532,530-531,Magic item,Demidius,S,Verified in context,"Raises caster level by 4 for 10 minutes once daily as part of a prayer-bead strand.",Acquire for scheduled dispel and SR sequences
RPG-04,Ring of Continuation replacement rule,Ultimate Equipment (PZO1123),169,168,Rules audit,Demidius,S,Verified in context,"A later personal-range spell can replace an older ring-maintained spell after its natural duration has expired.",Verify Invoke Deity routine and table interpretation
RPG-05,Four-leaf clover,Occult Adventures (PZO1132),259,258,Magic item,Demidius,A+,Verified in context,"Three daily free-action +2 luck boosts to an ability check save or skill check; usable outside turn.",Would become +4 under CR-01 and CR-02 but does not stack with other luck bonuses
RPG-06,Borrow Fortune,Advanced Player's Guide (PZO1115),207,206,Oracle spell,Demidius,A,Verified in context,"Immediate-action best-of-two reroll followed by two rounds of worst-of-two d20 rolls.",Emergency use only
RPG-07,Temporal Celerity,Ultimate Magic (PZO1117),57,56,Oracle revelation,Demidius,A,Verified in context,"Roll initiative twice and later always act during surprise rounds.",Time mystery access required
RPG-08,Rewind Time,Ultimate Magic (PZO1117),57,56,Oracle revelation,Demidius,A,Verified in context,"Limited immediate-action personal rerolls.",Time mystery and level access required
RPG-09,Dual-Cursed Misfortune and Fortune,Ultimate Magic (PZO1117),59,58,Oracle archetype,Demidius,A,Text and rendered page verified,"Adds forced and personal rerolls but imposes a second curse and replaces class benefits.",Full archetype and retraining audit required
RPG-10,Official retraining,Ultimate Campaign (PZO1125),190-192,189-191,Campaign subsystem,Demidius,A+,Text and rendered page verified,"Defines retraining for feats class features racial traits skill ranks and spontaneous spells known.",Use only if GM adopts official subsystem
RPG-11,Page of spell knowledge,Ultimate Equipment (PZO1123),315,314,Magic item,Demidius,A+ conditional,Verified in context,"Permanently adds one carried page's spell to usable spontaneous options if on class list.",CR-09 class-list ruling required
RPG-12,Background Skills,Pathfinder Unchained (PZO1131),47-50,46-49,Optional subsystem,Campaign,A,Verified in context,"Grants two background ranks per level and classifies Profession as background.",Campaign-wide adoption only
RPG-13,Signature Skill Profession,Pathfinder Unchained (PZO1131),83 and 87,82 and 86,Feat and optional subsystem,Demidius,S conditional,Verified in context,"At 10 ranks roll twice on Profession checks and take the better result.",Adopt Skill Unlocks and confirm ship-check interaction
RPG-14,Siege Engineer,Ultimate Combat (PZO1118),119,118,Combat feat,Binky,A,Verified in context,"Proficiency with all siege weapons and protection from ordinary natural-1 mishaps.",Audit class-granted proficiency and current feats
